identifier,name
DOID:4500,hypokalemia
DOID:8454,riboflavin_deficiency
DOID:0050336,hypophosphatemia
DOID:11249,vitamin_K_deficiency_bleeding
DOID:8457,pellagra
DOID:13579,kwashiorkor
DOID:14026,folic_acid_deficiency_anemia
DOID:11476,osteoporosis
DOID:2355,anemia
DOID:4195,hyperglycemia
DOID:13725,beriberi
DOID:13381,pernicious_anemia
DOID:1920,hyperuricemia
DOID:10138,xerophthalmia
DOID:12328,marasmus
DOID:9970,obesity
DOID:11758,iron_deficiency_anemia
DOID:10763,hypertension
DOID:9352,type_2_diabetes_mellitus
DOID:8455,pyridoxine_deficiency_anemia
DOID:0050810,biotin_deficiency
DOID:9971,hypervitaminosis_D
DOID:12678,hypercalcemia
DOID:13724,scurvy
DOID:10573,osteomalacia
DOID:8499,night_blindness
DOID:2018,hyperinsulinism
DOID:9972,hypervitaminosis_A
DOID:12176,goiter
DOID:9452,fatty_liver_disease
DOID:10609,rickets
