identifier,name
FOODON:03301824,pili nut (raw)
FOODON:03304656,radish (raw)
FOODON:03309855,whole oats (raw)
FOODON:03310978,chestnut (raw)
FOODON:03303171,nut
FOODON:03301716,spinach leaf (raw)
FOODON:03309966,veal steak (raw)
FOODON:03302452,gluten bread
FOODON:00001873,food spread
FOODON:00002465,scone
FOODON:03315482,wonton pastry (case)
FOODON:00001288,cantaloupe fruit food product
FOODON:03411457,chicken
FOODON:03414166,domestic turkey
FOODON:03301605,cottage cheese
FOODON:00003016,orange bell pepper (raw)
FOODON:03309956,white lupine (raw)
FOODON:03411300,onion plant
FOODON:03301833,potato chip
FOODON:00003191,horned melon (raw)
FOODON:03301175,cinnamon
FOODON:03303009,chicken skin (raw)
FOODON:03303920,peppermint
FOODON:03301441,lemon (raw)
FOODON:03301774,asparagus (raw)
FOODON:00002781,pigeon pea
FOODON:00003121,durian (raw)
FOODON:03301469,bouillon cube
FOODON:03301357,cashew nut (raw)
FOODON:00002957,lemongrass leaf
FOODON:03301641,rice kernel food product
FOODON:03411316,duck
FOODON:03310721,beechnut (raw)
FOODON:03303012,chicken breast (raw)
FOODON:00003146,tapioca pearls
FOODON:00003062,robusta coffee (liquid)
FOODON:03311349,asparagus spear (raw)
FOODON:03305317,guava (raw)
FOODON:03306516,black walnut (raw)
FOODON:00002843,Williams pear (raw)
FOODON:03302643,butter (salted)
FOODON:03301950,apple (dried)
FOODON:03302549,zwieback
FOODON:03309626,shark (raw)
FOODON:03307208,turkey (raw)
FOODON:00003017,pattypan squash (raw)
FOODON:03307015,prawn (raw)
FOODON:03301828,okra (raw)
FOODON:03307633,turnip (raw)
FOODON:03310123,kohlrabi stem (raw)
FOODON:03310243,parsnip (boiled)
FOODON:03302727,chicory head (raw)
FOODON:03303578,mozzarella cheese
FOODON:03306104,lingonberry (raw)
FOODON:03310306,sesame seed
FOODON:03302492,rye flour
FOODON:03306347,pasta
FOODON:03411479,brown trout
FOODON:00003032,custard apple (raw)
FOODON:00002977,baby spinach
FOODON:03301014,grape wine
FOODON:03301714,brussels sprout (raw)
FOODON:00003003,macadamia nut
FOODON:00003033,cherimoya fruit (raw)
FOODON:03301121,"chicken (whole or parts, raw)"
FOODON:03303659,swiss cheese
FOODON:03315552,juice beverage
FOODON:03301805,salmon (smoked)
FOODON:03306698,swiss chard leaf (raw)
FOODON:03310823,acerola (raw)
FOODON:03411635,shiitake mushroom
FOODON:03310290,kefir
FOODON:03304046,curry sauce
FOODON:00002912,mutton
FOODON:03310943,zucchini squash
FOODON:03308164,rock oyster (raw)
FOODON:03301705,vinegar
FOODON:03414363,kiwi
FOODON:03315451,wakame
FOODON:03311276,yellow onion (raw)
FOODON:03411335,crab
FOODON:03301040,watermelon (raw)
FOODON:03311761,hazelnut chocolate spread
FOODON:03301129,apple cider (non-alcoholic)
FOODON:00003131,common wheat kernel
FOODON:03305003,worcestershire sauce
FOODON:03310104,chinese cabbage head (raw)
FOODON:03303225,syrup
FOODON:00001998,lettuce head food product
FOODON:03301149,acorn (raw)
FOODON:03304869,"sunflower seed (whole kernel, raw)"
FOODON:03301713,broccoli floret (raw)
FOODON:00003208,miso
FOODON:03309718,flaxseed (raw)
FOODON:03301268,black olive (raw)
FOODON:00003555,mandarin orange
FOODON:03301083,fish (frozen)
FOODON:03301449,potato (raw)
FOODON:00001222,sausage (raw)
FOODON:00001649,black or white pepper product
FOODON:03309932,tamarind pod (raw)
FOODON:00001829,egg product analog
FOODON:03311075,breakfast cereal
FOODON:03304356,strawberry (frozen)
FOODON:03308020,mullet (raw)
FOODON:03302120,blueberry (frozen)
FOODON:00002688,food (boiled)
FOODON:00003462,white mushroom
FOODON:03301938,doughnut
FOODON:03315232,pecan nut (raw)
FOODON:00003467,meat (boneless)
FOODON:03310299,winged bean
FOODON:03309069,bream (raw)
FOODON:03411644,cuttlefish
FOODON:03301762,cottonseed
FOODON:03301116,wheat flour
FOODON:00001681,caper food product
FOODON:03305289,soybean milk
FOODON:03302200,wheat bread
FOODON:00003035,greater burdock root
