name,identifier,DOID:4500,DOID:8454,DOID:0050336,DOID:11249,DOID:8457,DOID:13579,DOID:14026,DOID:11476,DOID:2355,DOID:4195,DOID:13725,DOID:13381,DOID:1920,DOID:10138,DOID:12328,DOID:9970,DOID:11758,DOID:10763,DOID:9352,DOID:8455,DOID:0050810,DOID:9971,DOID:12678,DOID:13724,DOID:10573,DOID:8499,DOID:2018,DOID:9972,DOID:12176,DOID:9452,DOID:10609
pili nut (raw),FOODON:03301824,0.00023378523469302223,5.264649386907391e-05,0.0006557023963047479,0.00037906488118587283,2.358063896493494e-05,4.3939144352798595e-05,0.0032828511080602346,0.0025979070586394392,0.007854938605692056,0.000806812368928323,3.501006825312435e-05,0.00589383595061346,0.0028702455545520024,0.0007161669107981289,4.5569283821216824e-05,0.0062833017287277845,9.56641339611206e-05,0.028538512617680138,0.010688747053415711,0.006837129885597606,0.00043511022470527424,0.012560234592563673,0.037907167126080936,0.018426325916632697,0.0001176290623369265,0.0014120550717838952,0.0008369859670835881,0.010053034066823719,0.00042751896314310086,0.0017755476147437374,0.0008891779400338293
radish (raw),FOODON:03304656,0.0002742483040762657,0.0007998382189188561,0.0012704258401005553,0.012300408266192785,4.2584143567630146e-05,5.8903295764271176e-05,0.0023209765300533348,0.0068135384765766836,0.010109828699906771,0.0014879889066464259,5.8009363121774985e-05,0.004166943447350349,0.002029264303595362,0.000848873740174726,6.555305705027313e-05,0.01541554278466431,0.0001478556686200615,0.04699262261089586,0.020741436022831506,0.004833852488294794,0.0003076230344555257,0.00888008890495481,0.03995153996797572,0.013027416894605409,0.0003522722556509834,0.0021042882768644335,0.0014001292780242603,0.007107497524830287,0.0006278393386114202,0.0029690027215972335,0.0015951221915210243
whole oats (raw),FOODON:03309855,0.0001626366479974656,0.0006686091049693484,0.0014998117514980897,0.010282285551112274,0.00011690291722692949,0.00015422084022548586,0.0019401749050094554,0.005695644137455651,0.011727858477474313,0.002333492905061031,0.00015205029519477014,0.0034832748209465765,0.0016963237785850161,0.0013933251603298925,0.00017774599425220562,0.01321387218588193,0.00017252193901457093,0.0759199946533624,0.0378052480887608,0.004040764381228602,0.00040725780309058845,0.0025625668313448537,0.041655007548340194,0.003145085135525965,0.0006913089851475678,0.0019836053425392325,0.0014764964486669867,0.0011948967004674917,0.000977794876270347,0.0034431553017753463,0.001915782608362728
chestnut (raw),FOODON:03310978,0.000189538677427114,0.0009171985439249642,0.0006467839500197634,0.0010959646036639871,8.549949101060758e-05,0.00012178014456533671,0.002661533599540211,0.00210622312662152,0.01353356141294564,0.0010626446411508247,0.00012486194259158953,0.0047783593883441895,0.002327018415064505,0.0007003549400632812,0.00013224249273324323,0.00898548294203928,0.00012088426588763772,0.03468181080361325,0.021421847969204568,0.00554312404551631,0.0005586766037442638,0.01018306505102762,0.062074403623028365,0.014938930804015213,0.0001451273356145486,0.0014577591732832197,0.0013687341178763887,0.00815038119775817,0.00042839968903542354,0.002281810685442034,0.0013312140418788594
nut,FOODON:03303171,0.00019787694980849887,0.000957548362710615,0.0006765141113588175,0.0007918731672456736,3.2704665718239775e-05,6.400175321918314e-05,0.0027786210056909063,0.006292966745471525,0.009134651485766842,0.002076351930171318,5.341432711560653e-05,0.004988571164943101,0.0024293896758788985,0.000824092761060609,7.066484306312955e-05,0.00600646179237802,0.0001262022619255835,0.03792858339930322,0.017298958460101366,0.005786979699479564,0.0003682793920164539,0.010631043116641592,0.056581459921988944,0.015596131095910468,0.00014650022475804677,0.001473438096246889,0.0010483614441109943,0.008508936503522394,0.0005546664197635232,0.0022551050718411163,0.0010119377523749164
spinach leaf (raw),FOODON:03301716,0.0006230950302452174,0.0006170384339819894,0.001997730517020567,0.009489199783638623,0.0001152886296057107,0.00015985468512933092,0.0017905267459572992,0.005901363076403102,0.015580339571918289,0.0030773100488858626,0.0001586576788304244,0.003214605401977443,0.003605165015778061,0.001528586479701782,0.00017767344853443422,0.015845425249132242,0.00019445455812029514,0.08968955885927361,0.037211319548836504,0.0037290950831395005,0.0003758454905538302,0.006850580557328978,0.05820514810495264,0.010050053535005352,0.0008198896098086626,0.0027840114027653153,0.0021056826638349954,0.005483107756691314,0.0010090865092240793,0.003968298021265871,0.0018997019008384587
veal steak (raw),FOODON:03309966,9.934765553346205e-05,0.0014007551248451742,0.002123996579691809,0.00023995699747427735,1.6505660544868544e-05,2.0641210466822302e-05,0.00015237603152091917,0.00661861533309018,0.014651555026348254,0.0006871618896181533,2.2038933042202143e-05,0.007297559994952142,0.0005722700930081249,0.0002715264909211423,2.412925838115872e-05,0.007185480479217014,0.00025270040594354773,0.0188686268136047,0.004428673948838589,0.008465516507671977,0.0006279987291007228,0.009785160065458267,0.004558756810175279,0.022814889995228422,0.006114666466815737,0.0009858135595148313,0.0007099636392328773,0.015582169548290658,0.0010370855339688846,0.0015615156693953938,0.006114666466815737
gluten bread,FOODON:03302452,0.0003948685348991175,0.0012412253998775715,0.0008094941691235366,0.00036691564212035883,1.5437473944786294e-05,2.409217673491222e-05,0.0036017971553246974,0.004898757649950922,0.009707950137244825,0.0011624965491981414,2.411128954245002e-05,0.00646645274552625,0.0006919559180833259,0.0002425452641305124,2.6490371259687617e-05,0.006079884926250332,0.0001350884280519482,0.018377942832280877,0.007841534494540295,0.007501392588920023,0.0005564769743296911,0.0002738492598380106,0.00136219471396393,1.9784455961766718e-05,0.00012807529180969358,0.0012975290078888187,0.0007470092686603932,0.0002733883637041877,0.0009646892790880864,0.0009726219648333897,0.0005303466623946959
food spread,FOODON:00001873,0.0003016166462564917,0.0013125921129301461,0.0009096349427716699,0.0003022392062337541,2.1396036154450544e-05,3.512248162810272e-05,0.003808889617405308,0.005180421424759781,0.016568607514372294,0.0009635551949052713,3.877238767850536e-05,0.006838254255230711,0.0005976311012866272,0.00025649088453851443,3.836868288200201e-05,0.01144188722710628,0.00014285560481328233,0.018053061705761327,0.007408055133096126,0.007932700014985401,0.0008831567249881931,0.00023592740132978972,0.005979518565886574,2.884252422207257e-05,0.0008474101650964864,0.0010265479279612769,0.0007221327589521776,0.00020364591923371594,0.0009755510905015346,0.0012246127197531394,0.0005768271872940415
scone,FOODON:00002465,0.00020096607677476272,0.0011473041805734505,0.0007073265612268745,0.0003080696493396526,2.3913963146612113e-05,4.804495474578652e-05,0.0033292558581939934,0.004528077762475075,0.01094485066846598,0.0012248529327215513,3.645086353971448e-05,0.005977148283587096,0.0008915557876707999,0.0002461849007624397,4.99454226360632e-05,0.010001069578274705,0.00012486653775082527,0.020371164765036073,0.004548320835267451,0.0069337761523729155,0.0005143693958440528,0.006402257676685917,0.004937109468863476,0.018686791293190633,0.00014116449534385157,0.0014281798628947644,0.0009005458581832681,0.01019513875527935,0.000887889631575137,0.0015290926822078632,0.0005331089948197152
