tsne1,tsne2,identifier,name,nodetype
3.5606537,17.62071,FOODON:03301824,pili nut (raw),Food
19.36568,-7.727759,FOODON:03304656,radish (raw),Food
42.697372,1.1024263,FOODON:03309855,whole oats (raw),Food
12.538613,7.4719543,FOODON:03310978,chestnut (raw),Food
11.688521,12.155369,FOODON:03303171,nut,Food
34.958626,-5.5615273,FOODON:03301716,spinach leaf (raw),Food
-40.64672,-8.835453,FOODON:03309966,veal steak (raw),Food
-30.52038,8.44882,FOODON:03302452,gluten bread,Food
-31.095737,13.934085,FOODON:00001873,food spread,Food
-10.365489,8.239672,FOODON:00002465,scone,Food
-1.7612454,-14.572731,FOODON:03315482,wonton pastry (case),Food
20.971275,0.48598012,FOODON:00001288,cantaloupe fruit food product,Food
-0.7290124,-9.474172,FOODON:03411457,chicken,Food
-14.675971,-27.334448,FOODON:03414166,domestic turkey,Food
-29.920887,2.796595,FOODON:03301605,cottage cheese,Food
36.004307,3.6738582,FOODON:00003016,orange bell pepper (raw),Food
-1.1685138,-16.783224,FOODON:03309956,white lupine (raw),Food
18.077936,15.947228,FOODON:03411300,onion plant,Food
-0.9252981,-24.14311,FOODON:03301833,potato chip,Food
-4.779871,19.269312,FOODON:00003191,horned melon (raw),Food
15.460746,-9.131189,FOODON:03301175,cinnamon,Food
-45.889656,1.3464491,FOODON:03303009,chicken skin (raw),Food
14.67943,15.354811,FOODON:03303920,peppermint,Food
29.158743,-4.1034226,FOODON:03301441,lemon (raw),Food
-20.921944,15.54349,FOODON:03301774,asparagus (raw),Food
10.033136,7.3411155,FOODON:00002781,pigeon pea,Food
-8.978096,6.2615547,FOODON:00003121,durian (raw),Food
-31.524616,14.254222,FOODON:03301469,bouillon cube,Food
19.245594,1.1586657,FOODON:03301357,cashew nut (raw),Food
11.311204,17.42396,FOODON:00002957,lemongrass leaf,Food
-1.5407877,-21.132164,FOODON:03301641,rice kernel food product,Food
-15.228364,-27.766523,FOODON:03411316,duck,Food
1.9180373,19.88132,FOODON:03310721,beechnut (raw),Food
-45.167217,-7.849728,FOODON:03303012,chicken breast (raw),Food
8.499529,3.218766,FOODON:00003146,tapioca pearls,Food
31.760508,-0.8683636,FOODON:00003062,robusta coffee (liquid),Food
17.168947,-7.2132463,FOODON:03311349,asparagus spear (raw),Food
22.202158,-8.561848,FOODON:03305317,guava (raw),Food
22.989342,-3.3822756,FOODON:03306516,black walnut (raw),Food
-21.647938,19.260624,FOODON:00002843,Williams pear (raw),Food
10.669762,-4.8974557,FOODON:03302643,butter (salted),Food
-47.9749,8.4816265,FOODON:03301950,apple (dried),Food
-8.901415,5.169556,FOODON:03302549,zwieback,Food
-12.795571,-13.439387,FOODON:03309626,shark (raw),Food
-43.343533,-5.7858047,FOODON:03307208,turkey (raw),Food
36.061893,-1.2995417,FOODON:00003017,pattypan squash (raw),Food
-45.6775,9.530092,FOODON:03307015,prawn (raw),Food
20.610283,-8.116224,FOODON:03301828,okra (raw),Food
39.356472,1.6147809,FOODON:03307633,turnip (raw),Food
35.21523,6.257613,FOODON:03310123,kohlrabi stem (raw),Food
-10.848093,-8.7040615,FOODON:03310243,parsnip (boiled),Food
22.934149,-17.079561,FOODON:03302727,chicory head (raw),Food
5.9736357,-4.778175,FOODON:03303578,mozzarella cheese,Food
-13.821366,2.0583923,FOODON:03306104,lingonberry (raw),Food
18.489506,23.194305,FOODON:03310306,sesame seed,Food
-30.627714,14.861837,FOODON:03302492,rye flour,Food
6.8546534,-29.095108,FOODON:03306347,pasta,Food
14.389351,25.339674,FOODON:03411479,brown trout,Food
17.07133,4.1588855,FOODON:00003032,custard apple (raw),Food
-16.157644,9.867243,FOODON:00002977,baby spinach,Food
22.941944,5.774136,FOODON:03301014,grape wine,Food
21.008278,-20.21395,FOODON:03301714,brussels sprout (raw),Food
10.709586,4.2442803,FOODON:00003003,macadamia nut,Food
7.9620056,8.79169,FOODON:00003033,cherimoya fruit (raw),Food
-45.167217,-7.849728,FOODON:03301121,"chicken (whole or parts, raw)",Food
16.11281,30.514507,FOODON:03303659,swiss cheese,Food
-14.648668,2.2790039,FOODON:03315552,juice beverage,Food
-42.443035,-10.809512,FOODON:03301805,salmon (smoked),Food
28.41379,4.564273,FOODON:03306698,swiss chard leaf (raw),Food
-4.7327785,18.752525,FOODON:03310823,acerola (raw),Food
-0.1507606,28.721622,FOODON:03411635,shiitake mushroom,Food
26.065443,-7.227524,FOODON:03310290,kefir,Food
-17.451117,2.3488853,FOODON:03304046,curry sauce,Food
-35.916546,4.754649,FOODON:00002912,mutton,Food
39.11685,-0.6918202,FOODON:03310943,zucchini squash,Food
-44.989902,2.9184704,FOODON:03308164,rock oyster (raw),Food
7.915176,12.65416,FOODON:03301705,vinegar,Food
17.729122,-0.9307201,FOODON:03414363,kiwi,Food
12.170025,27.420631,FOODON:03315451,wakame,Food
-10.275726,-5.770105,FOODON:03311276,yellow onion (raw),Food
6.9096913,6.3812823,FOODON:03411335,crab,Food
12.93457,-15.67362,FOODON:03301040,watermelon (raw),Food
-33.834236,14.360867,FOODON:03311761,hazelnut chocolate spread,Food
-9.42336,18.978497,FOODON:03301129,apple cider (non-alcoholic),Food
4.785363,0.007547707,FOODON:00003131,common wheat kernel,Food
-45.031055,10.336732,FOODON:03305003,worcestershire sauce,Food
21.475237,-17.15423,FOODON:03310104,chinese cabbage head (raw),Food
0.21670654,-24.830547,FOODON:03303225,syrup,Food
8.688794,-12.281585,FOODON:00001998,lettuce head food product,Food
4.1288095,18.715843,FOODON:03301149,acorn (raw),Food
-9.387195,-10.93279,FOODON:03304869,"sunflower seed (whole kernel, raw)",Food
42.483162,-2.7442014,FOODON:03301713,broccoli floret (raw),Food
-0.2366129,-2.799592,FOODON:00003208,miso,Food
24.190762,4.4372945,FOODON:03309718,flaxseed (raw),Food
-10.245636,23.288637,FOODON:03301268,black olive (raw),Food
-13.546663,-7.5510864,FOODON:00003555,mandarin orange,Food
-33.765022,3.9395816,FOODON:03301083,fish (frozen),Food
38.515007,-1.6619768,FOODON:03301449,potato (raw),Food
-19.343008,10.710312,FOODON:00001222,sausage (raw),Food
26.48155,-16.937115,FOODON:00001649,black or white pepper product,Food
-4.7911425,9.11156,FOODON:03309932,tamarind pod (raw),Food
6.40432,28.978142,FOODON:00001829,egg product analog,Food
1.4400002,-29.587515,FOODON:03311075,breakfast cereal,Food
-10.4059725,-8.917614,FOODON:03304356,strawberry (frozen),Food
-45.811844,-4.0159,FOODON:03308020,mullet (raw),Food
-25.320667,-12.605105,FOODON:03302120,blueberry (frozen),Food
-16.620298,8.446182,FOODON:00002688,food (boiled),Food
-3.049702,30.08037,FOODON:00003462,white mushroom,Food
-32.580032,12.053288,FOODON:03301938,doughnut,Food
17.726755,1.3640474,FOODON:03315232,pecan nut (raw),Food
-38.110275,-0.54555416,FOODON:00003467,meat (boneless),Food
10.211499,7.068968,FOODON:03310299,winged bean,Food
-13.400109,-14.489096,FOODON:03309069,bream (raw),Food
5.474373,6.777327,FOODON:03411644,cuttlefish,Food
16.424213,7.8537674,FOODON:03301762,cottonseed,Food
6.6456556,-17.069704,FOODON:03301116,wheat flour,Food
34.935356,-15.33277,FOODON:00001681,caper food product,Food
-1.5473025,-2.6118128,FOODON:03305289,soybean milk,Food
-2.9852102,-22.65379,FOODON:03302200,wheat bread,Food
12.052122,1.5880622,FOODON:00003035,greater burdock root,Food
-36.128315,8.35259,FOODON:03311076,pork chop (raw),Food
36.340954,3.220032,FOODON:03315874,red bell pepper (raw),Food
2.8518264,10.468702,FOODON:00003087,jackfruit (raw),Food
35.700905,-14.414355,FOODON:03301773,"artichoke (whole, raw)",Food
-10.54251,16.60965,FOODON:03311146,sauce,Food
-12.97359,-26.1147,FOODON:03411505,lobster,Food
10.254735,4.753459,FOODON:03309749,hyacinth bean,Food
-0.47910228,28.880898,FOODON:03413726,maitake mushroom,Food
-37.361286,-0.07161197,FOODON:03309737,beef (raw),Food
-44.678864,5.640517,FOODON:03302908,ricotta cheese,Food
-3.9982169,9.846635,FOODON:00003066,pomegranate (raw),Food
2.9654071,16.618023,FOODON:03315223,acorn squash (raw),Food
-35.823143,4.2623506,FOODON:03309498,lamb (raw),Food
13.329811,14.677608,FOODON:03301701,apricot (raw),Food
14.17261,7.976712,FOODON:03301722,strawberry (raw),Food
-26.092852,-3.8718538,FOODON:00002532,naan,Food
11.479531,16.989935,FOODON:00003094,star anise food product,Food
45.134583,-9.36626,FOODON:03302116,cow milk (liquid),Food
13.378838,24.340187,FOODON:03411205,squid,Food
-33.885036,14.767908,FOODON:03301329,white chocolate,Food
11.054788,-20.648235,FOODON:03302806,milk chocolate,Food
22.127323,-11.268305,FOODON:03301831,pineapple (raw),Food
16.707731,-12.495303,FOODON:00002981,butternut squash (raw),Food
-0.8925602,-14.548985,FOODON:00003056,rice bread,Food
3.831967,-28.364517,FOODON:03302052,corn chip,Food
-5.370511,-23.246164,FOODON:03301355,almond (raw),Food
6.729682,-30.006903,FOODON:03411237,shrimp,Food
25.54927,9.16494,FOODON:00003038,borage food product,Food
10.944608,-17.733248,FOODON:03306811,chickpea,Food
17.091566,-4.19445,FOODON:03307043,yam (raw),Food
11.970875,-0.6216589,FOODON:03412686,crawfish or crayfish,Food
-20.047535,7.6911497,FOODON:03302092,beef fat,Food
24.95478,-13.06211,FOODON:03301072,cocoa,Food
-43.707714,11.121955,FOODON:03316627,caramel hard,Food
-15.956178,10.858886,FOODON:00003044,basil food product,Food
41.496826,2.8174105,FOODON:03307119,raspberry (raw),Food
-3.3550322,-10.337458,FOODON:00003186,leavening agent,Food
-43.80428,5.111137,FOODON:03303508,brie cheese,Food
-45.975414,-7.470199,FOODON:03303029,chicken wing (raw),Food
-18.844744,11.642634,FOODON:03312032,potato skin,Food
-0.36479193,-22.451117,FOODON:03307668,tortilla,Food
-28.470444,13.575942,FOODON:03309360,pine nut kernel (raw),Food
7.104284,-0.617788,FOODON:03309978,sorghum kernel,Food
-28.341646,7.40339,FOODON:03310002,soybean paste,Food
-14.817508,-6.539862,FOODON:00003508,crisphead lettuce,Food
13.002262,25.208227,FOODON:03411125,guinea fowl,Food
-27.72428,-12.0264845,FOODON:03306944,noodle,Food
-43.66993,5.7205057,FOODON:03302995,camembert cheese,Food
9.175434,-10.758473,FOODON:03311757,leek (raw),Food
-33.14723,2.9916334,FOODON:00001302,lasagne food product,Food
-22.553469,16.798235,FOODON:00002761,kidney bean,Food
26.800432,-17.910015,FOODON:03310435,asparagus bean pod,Food
15.684645,-5.0870547,FOODON:03305285,breadfruit (raw),Food
15.671888,-3.4055948,FOODON:00002439,endive,Food
-2.3809092,29.738194,FOODON:03412032,morel mushroom,Food
33.878845,-18.000029,FOODON:03305319,naranjilla (raw),Food
16.026836,-12.622967,FOODON:00003019,shallot (raw),Food
13.607999,-4.1947885,FOODON:03309754,jicama tuber (raw),Food
15.652403,-1.0527879,FOODON:03303085,coconut (raw),Food
28.723423,-8.367637,FOODON:03315521,tallow (edible),Food
-32.77643,5.436615,FOODON:03307686,white sauce,Food
-27.372187,-12.691598,FOODON:03302535,cake mix (dry),Food
24.300985,-19.835958,FOODON:03302732,cauliflower floret (raw),Food
22.945461,-6.7729173,FOODON:03316284,horseradish,Food
3.7259753,8.445763,FOODON:00003101,star fruit,Food
-0.25005683,-15.843054,FOODON:00003067,arrowroot starch,Food
20.55709,4.4191685,FOODON:00001914,gooseberry food product,Food
16.322802,1.5360537,FOODON:03310641,lentil,Food
3.970005,16.747808,FOODON:03411460,pheasant,Food
-7.639424,20.240414,FOODON:03303079,clementine (raw),Food
25.854956,-21.788082,FOODON:03310272,red wine,Food
0.35209164,-3.9356048,FOODON:03301115,soy sauce,Food
0.6903067,-2.539388,FOODON:03301415,soybean,Food
-40.60145,-13.269903,FOODON:00002328,vanilla bean food product,Food
13.002262,25.208227,FOODON:03411304,pigeon,Food
19.539314,-13.480883,FOODON:03301727,celery stalk (raw),Food
